Signal Legend:

Key        Signal Name

0        = DATA_8861_before[15..0]
1        = RAM0_add[7..0]
2        = RAM0_wdata[15..0]
3        = RAM1_add[3..0]
4        = RAM1_wdata[31..0]
5        = sample_cnt[12..0]
6        = sample_cntset[12..0]
7        = trigger[15..0]
8        = ADS8861:ADS8861_inst|data_reg[15..0]
9        = sm_cnt[9..0]
10       = soc_system:u0|soc_system_onchip_memory2_0:onchip_memory2_0|readdata2[15..0]
11       = soc_system:u0|soc_system_onchip_memory2_1:onchip_memory2_1|readdata2[31..0]
12       = ADS8861:ADS8861_inst|data[15..0]
13       = ADS8861:ADS8861_inst|cnt[4..0]
14       = RAM0_write

Data Table:

Signals-> 0     1   2     3  4         5   6   7   8      9   10    11  12    13 14 

sample

-789      -744  177 -744  2h 0000C350h 125 200 100 139    516 FD18h 100 139   18 1  
-788      -744  177 -744  2h 0000C350h 145 200 100 139    516 FD18h 100 139   18 1  
-787      -744  177 -744  2h 0000C350h 165 200 100 139    516 FD18h 100 139   17 1  
-786      -744  177 -744  2h 0000C350h 185 200 100 139    516 FD18h 100 139   11 1  
-785      -744  177 -744  2h 0000C350h 4   200 100 699    516 FD18h 100 139   4  1  
-784      139   178 139   2h 0000C350h 24  200 100 689    516 FD18h 100 689   18 1  
-783      139   178 139   2h 0000C350h 44  200 100 689    516 008Bh 100 689   18 1  
-782      139   178 139   2h 0000C350h 64  200 100 689    516 008Bh 100 689   18 1  
-781      139   178 139   2h 0000C350h 84  200 100 689    516 008Bh 100 689   18 1  
-780      139   178 139   2h 0000C350h 104 200 100 689    516 008Bh 100 689   18 1  
-779      139   178 139   2h 0000C350h 124 200 100 689    516 008Bh 100 689   18 1  
-778      139   178 139   2h 0000C350h 144 200 100 689    516 008Bh 100 689   18 1  
-777      139   178 139   2h 0000C350h 164 200 100 689    516 008Bh 100 689   18 1  
-776      139   178 139   2h 0000C350h 184 200 100 689    516 008Bh 100 689   12 1  
-775      139   178 139   2h 0000C350h 3   200 100 1297   516 008Bh 100 689   5  1  
-774      689   179 689   2h 0000C350h 23  200 100 1281   516 008Bh 100 689   31 1  
-773      689   179 689   2h 0000C350h 43  200 100 1281   516 02B1h 100 1281  18 1  
-772      689   179 689   2h 0000C350h 63  200 100 1281   516 02B1h 100 1281  18 1  
-771      689   179 689   2h 0000C350h 83  200 100 1281   516 02B1h 100 1281  18 1  
-770      689   179 689   2h 0000C350h 103 200 100 1281   516 02B1h 100 1281  18 1  
